групи споживачів;Адміністративний район;місто / селище / підприємство;вулиця;номер буд
3.2;Тернопіль;Тернопіль;Злуки;33
3.2;Тернопіль;Тернопіль;Злуки;35
3.2;Тернопіль;Тернопіль;Злуки;37
3.2;Тернопіль;Тернопіль;Злуки;39
3.2;Тернопіль;Тернопіль;Злуки;41
3.2;Тернопіль;Тернопіль;Злуки;43
3.2;Тернопіль;Тернопіль;Тарнавського;1
3.2;Тернопіль;Тернопіль;Тарнавського;2
3.2;Тернопіль;Тернопіль;Тарнавського;2А
3.2;Тернопіль;Тернопіль;Тарнавського;3
3.2;Тернопіль;Тернопіль;Тарнавського;4
3.2;Тернопіль;Тернопіль;Тарнавського;5
3.2;Тернопіль;Тернопіль;Тарнавського;6
3.2;Тернопіль;Тернопіль;Тарнавського;7
3.2;Тернопіль;Тернопіль;Тарнавського;8
3.2;Тернопіль;Тернопіль;Тарнавського;9
3.2;Тернопіль;Тернопіль;Тарнавського;10
3.2;Тернопіль;Тернопіль;Тарнавського;11
3.2;Тернопіль;Тернопіль;Тарнавського;12
3.2;Тернопіль;Тернопіль;Тарнавського;13
3.2;Тернопіль;Тернопіль;Тарнавського;14
3.2;Тернопіль;Тернопіль;Тарнавського;15
3.2;Тернопіль;Тернопіль;Тарнавського;16
3.2;Тернопіль;Тернопіль;Тарнавського;17
3.2;Тернопіль;Тернопіль;Тарнавського;18
3.2;Тернопіль;Тернопіль;Тарнавського;19
3.2;Тернопіль;Тернопіль;Тарнавського;20
3.2;Тернопіль;Тернопіль;Тарнавського;21
3.2;Тернопіль;Тернопіль;Тарнавського;22
3.2;Тернопіль;Тернопіль;Тарнавського;23
3.2;Тернопіль;Тернопіль;Тарнавського;24
3.2;Тернопіль;Тернопіль;Тарнавського;26
3.2;Тернопіль;Тернопіль;Тарнавського;30
3.2;Тернопіль;Тернопіль;Захисників України;1
3.2;Тернопіль;Тернопіль;Захисників України;2
3.2;Тернопіль;Тернопіль;Захисників України;3
3.2;Тернопіль;Тернопіль;Захисників України;5
3.2;Тернопіль;Тернопіль;Лепкого;3
3.2;Тернопіль;Тернопіль;Лепкого;5
3.2;Тернопіль;Тернопіль;Лепкого;7
3.2;Тернопіль;Тернопіль;Лепкого;9
3.2;Тернопіль;Тернопіль;Лепкого;11
3.2;Тернопіль;Тернопіль;Лепкого;14
3.2;Тернопіль;Тернопіль;Лепкого;30
3.2;Тернопіль;Тернопіль;Рєпіна;34
3.2;Тернопіль;Тернопіль;Рєпіна;36
3.2;Тернопіль;Тернопіль;Рєпіна;38
3.2;Тернопіль;Тернопіль;Коновальця;4
3.2;Тернопіль;Тернопіль;Коновальця;6
3.2;Тернопіль;Тернопіль;Коновальця;8
3.2;Тернопіль;Тернопіль;Коновальця;10
3.2;Тернопіль;Тернопіль;Коновальця;12
3.2;Тернопіль;Тернопіль;Коновальця;14
3.2;Тернопіль;Тернопіль;Коновальця;16
3.2;Тернопіль;Тернопіль;Коновальця;18
3.2;Тернопіль;Тернопіль;Коновальця;20
3.2;Тернопіль;Тернопіль;Вербицького;1
3.2;Тернопіль;Тернопіль;Вербицького;2
3.2;Тернопіль;Тернопіль;Вербицького;3
3.2;Тернопіль;Тернопіль;Вербицького;4
3.2;Тернопіль;Тернопіль;Вербицького;5
3.2;Тернопіль;Тернопіль;Вербицького;6
3.2;Тернопіль;Тернопіль;Вербицького;8
3.2;Тернопіль;Тернопіль;Вербицького;10
3.2;Тернопіль;Тернопіль;Чубинського;1
3.2;Тернопіль;Тернопіль;Чубинського;2
3.2;Тернопіль;Тернопіль;Чубинського;3
3.2;Тернопіль;Тернопіль;Чубинського;4
3.2;Тернопіль;Тернопіль;К. Цісик;43
3.2;Тернопіль;Тернопіль;К. Цісик;60
3.2;Тернопіль;Тернопіль;К. Цісик;приватний сектор
3.2;Тернопіль;Тернопіль;Галицька;1
3.2;Тернопіль;Тернопіль;Галицька;2
3.2;Тернопіль;Тернопіль;Галицька;3
3.2;Тернопіль;Тернопіль;Галицька;4
3.2;Тернопіль;Тернопіль;Галицька;5
3.2;Тернопіль;Тернопіль;Галицька;6
3.2;Тернопіль;Тернопіль;Галицька;7
3.2;Тернопіль;Тернопіль;Галицька;8
3.2;Тернопіль;Тернопіль;Галицька;9
3.2;Тернопіль;Тернопіль;Галицька;10
3.2;Тернопіль;Тернопіль;Галицька;11
3.2;Тернопіль;Тернопіль;Галицька;12
3.2;Тернопіль;Тернопіль;Галицька;13
3.2;Тернопіль;Тернопіль;Галицька;14
3.2;Тернопіль;Тернопіль;Галицька;15
3.2;Тернопіль;Тернопіль;Галицька;16
3.2;Тернопіль;Тернопіль;Галицька;17
3.2;Тернопіль;Тернопіль;Галицька;18
3.2;Тернопіль;Тернопіль;Галицька;19
3.2;Тернопіль;Тернопіль;Галицька;20
3.2;Тернопіль;Тернопіль;Галицька;21
3.2;Тернопіль;Тернопіль;Галицька;22
3.2;Тернопіль;Тернопіль;Галицька;23
3.2;Тернопіль;Тернопіль;Галицька;24
3.2;Тернопіль;Тернопіль;Галицька;25
3.2;Тернопіль;Тернопіль;Галицька;26
3.2;Тернопіль;Тернопіль;Галицька;27
3.2;Тернопіль;Тернопіль;Галицька;28
3.2;Тернопіль;Тернопіль;Галицька;29
3.2;Тернопіль;Тернопіль;Галицька;30
3.2;Тернопіль;Тернопіль;Галицька;31
3.2;Тернопіль;Тернопіль;Галицька;32
3.2;Тернопіль;Тернопіль;Галицька;33
3.2;Тернопіль;Тернопіль;Галицька;34
3.2;Тернопіль;Тернопіль;Галицька;35
3.2;Тернопіль;Тернопіль;Галицька;36
3.2;Тернопіль;Тернопіль;Галицька;37
3.2;Тернопіль;Тернопіль;Галицька;38
3.2;Тернопіль;Тернопіль;Галицька;39
3.2;Тернопіль;Тернопіль;Галицька;40
3.2;Тернопіль;Тернопіль;Галицька;41
3.2;Тернопіль;Тернопіль;Галицька;42
3.2;Тернопіль;Тернопіль;Галицька;43
3.2;Тернопіль;Тернопіль;Галицька;44
3.2;Тернопіль;Тернопіль;Галицька;45
3.2;Тернопіль;Тернопіль;Галицька;46
3.2;Тернопіль;Тернопіль;Галицька;47
3.2;Тернопіль;Тернопіль;Галицька;48
3.2;Тернопіль;Тернопіль;Галицька;49
3.2;Тернопіль;Тернопіль;Галицька;50
3.2;Тернопіль;Тернопіль;Галицька;51
3.2;Тернопіль;Тернопіль;Галицька;52
3.2;Тернопіль;Тернопіль;Галицька;53
3.2;Тернопіль;Тернопіль;Галицька;54
3.2;Тернопіль;Тернопіль;"Вояків дивізії ""Галичина";8
3.2;Тернопіль;Тернопіль;"Вояків дивізії ""Галичина";9
3.2;Тернопіль;Тернопіль;"Вояків дивізії ""Галичина";10
3.2;Тернопіль;Тернопіль;"Вояків дивізії ""Галичина";11
3.2;Тернопіль;Тернопіль;"Вояків дивізії ""Галичина";12
3.2;Тернопіль;Тернопіль;"Вояків дивізії ""Галичина";13
3.2;Тернопіль;Тернопіль;"Вояків дивізії ""Галичина";14
3.2;Тернопіль;Тернопіль;"Вояків дивізії ""Галичина";15
3.2;Тернопіль;Тернопіль;"Вояків дивізії ""Галичина";16
3.2;Тернопіль;Тернопіль;"Вояків дивізії ""Галичина";17
3.2;Тернопіль;Тернопіль;"Вояків дивізії ""Галичина";18
3.2;Тернопіль;Тернопіль;"Вояків дивізії ""Галичина";19
3.2;Тернопіль;Тернопіль;"Вояків дивізії ""Галичина";20
3.2;Тернопіль;Тернопіль;"Вояків дивізії ""Галичина";21
3.2;Тернопіль;Тернопіль;"Вояків дивізії ""Галичина";22
3.2;Тернопіль;Тернопіль;"Вояків дивізії ""Галичина";23
3.2;Тернопіль;Тернопіль;"Вояків дивізії ""Галичина";24
3.2;Тернопіль;Тернопіль;"Вояків дивізії ""Галичина";25
3.2;Тернопіль;Тернопіль;"Вояків дивізії ""Галичина";26
3.2;Тернопіль;Тернопіль;Коцюбинського;5Б
3.2;Тернопіль;Тернопіль;Бродівська;2
3.2;Тернопіль;Тернопіль;Бродівська;3
3.2;Тернопіль;Тернопіль;Бродівська;4
3.2;Тернопіль;Тернопіль;Бродівська;5
3.2;Тернопіль;Тернопіль;Бродівська;6
3.2;Тернопіль;Тернопіль;Бродівська;7
3.2;Тернопіль;Тернопіль;Бродівська;8
3.2;Тернопіль;Тернопіль;Бродівська;9
3.2;Тернопіль;Тернопіль;Бродівська;10
3.2;Тернопіль;Тернопіль;Бродівська;11
3.2;Тернопіль;Тернопіль;Бродівська;12
3.2;Тернопіль;Тернопіль;Руська;1
3.2;Тернопіль;Тернопіль;Руська;3
3.2;Тернопіль;Тернопіль;Руська;7
3.2;Тернопіль;Тернопіль;Руська;9
3.2;Тернопіль;Тернопіль;Руська;10
3.2;Тернопіль;Тернопіль;Руська;11
3.2;Тернопіль;Тернопіль;Руська;12
3.2;Тернопіль;Тернопіль;Руська;13
3.2;Тернопіль;Тернопіль;Руська;14
3.2;Тернопіль;Тернопіль;Руська;15
3.2;Тернопіль;Тернопіль;Руська;16
3.2;Тернопіль;Тернопіль;Руська;17
3.2;Тернопіль;Тернопіль;Руська;18
3.2;Тернопіль;Тернопіль;Руська;19
3.2;Тернопіль;Тернопіль;Грушевського;1
3.2;Тернопіль;Тернопіль;Валова;2
3.2;Тернопіль;Тернопіль;Валова;3
3.2;Тернопіль;Тернопіль;Валова;4
3.2;Тернопіль;Тернопіль;Валова;5
3.2;Тернопіль;Тернопіль;Валова;6
3.2;Тернопіль;Тернопіль;Валова;8
3.2;Тернопіль;Тернопіль;Валова;10
3.2;Тернопіль;Тернопіль;Валова;12
3.2;Тернопіль;Тернопіль;Валова;14
3.2;Тернопіль;Тернопіль;Валова;16
3.2;Тернопіль;Тернопіль;Валова;18
3.2;Тернопіль;Тернопіль;Сагайдачного;2
3.2;Тернопіль;Тернопіль;Сагайдачного;4
3.2;Тернопіль;Тернопіль;Сагайдачного;6
3.2;Тернопіль;Тернопіль;Сагайдачного;8
3.2;Тернопіль;Тернопіль;Сагайдачного;9
3.2;Тернопіль;Тернопіль;Сагайдачного;11
3.2;Тернопіль;Тернопіль;Сагайдачного;13
3.2;Тернопіль;Тернопіль;Текстильна;2
3.2;Тернопіль;Тернопіль;Текстильна;14
3.2;Тернопіль;Тернопіль;Київська;2
3.2;Тернопіль;Тернопіль;Київська;4
3.2;Тернопіль;Тернопіль;Київська;7Д
3.2;Тернопіль;Тернопіль;Київська;8
3.2;Тернопіль;Тернопіль;Київська;8А
3.2;Тернопіль;Тернопіль;Київська;8Б
3.2;Тернопіль;Тернопіль;Київська;8В
3.2;Тернопіль;Тернопіль;Київська;8Г
3.2;Тернопіль;Тернопіль;Київська;9Б
3.2;Тернопіль;Тернопіль;Київська;9Г
3.2;Тернопіль;Тернопіль;Київська;9Д
3.2;Тернопіль;Тернопіль;Смакули;7
3.2;Тернопіль;Тернопіль;Смакули;7А
3.2;Тернопіль;Тернопіль;Смакули;8
3.2;Тернопіль;Тернопіль;Спортивна;всі
3.2;Тернопіль;Тернопіль;Л. Гузара;всі
3.2;Тернопіль;Тернопіль;Над Яром;всі
3.2;Тернопіль;Тернопіль;Заміська;всі
3.2;Тернопіль;Тернопіль;Збаразька;всі
3.2;Тернопіль;Тернопіль;пров. Збаразький;всі
3.2;Тернопіль;Тернопіль;Енергетична;всі
3.2;Тернопіль;Тернопіль;Енергетична бічна;всі
3.2;Тернопіль;Тернопіль;Шота Руставелі;всі
3.2;Тернопіль;Тернопіль;Фабрична;всі
3.2;Тернопіль;Тернопіль;Лозовецька;всі
3.2;Тернопіль;Тернопіль;Квітова;всі
3.2;Тернопіль;Тернопіль;Вертепна;всі
3.2;Тернопіль;Тернопіль;Весела;всі
3.2;Тернопіль;Тернопіль;Лисенка;всі
3.2;Тернопіль;Тернопіль;пров. Галицький;всі
3.2;Тернопіль;Тернопіль;Городня;всі
3.2;Тернопіль;Тернопіль;Північна;всі
3.2;Тернопіль;Тернопіль;Леонтовича;всі
3.2;Тернопіль;Тернопіль;Марка Вовчка;всі
3.2;Тернопіль;Тернопіль;Паркова;всі
3.2;Тернопіль;Тернопіль;Петрушевича;всі
3.2;Тернопіль;Тернопіль;Підгородня;всі
3.2;Тернопіль;Тернопіль;Рудницького;всі
3.2;Тернопіль;Тернопіль;Чарнецького;всі
3.2;Тернопіль;Тернопіль;Бордуляка;всі
3.2;Тернопіль;Тернопіль;Над Ставом;всі
3.2;Тернопіль;Тернопіль;Старий Ринок;всі
3.2;Тернопіль;Тернопіль;Брюкнера;всі
3.2;Тернопіль;Тернопіль;Січинського;всі
3.2;Тернопіль;Тернопіль;Сліпого;всі
3.2;Тернопіль;Тернопіль;Замкова;всі
3.2;Тернопіль;Тернопіль;Словацького;всі
3.2;Тернопіль;Тернопіль;Листопадова;всі
3.2;Тернопіль;Тернопіль;майдан Волі;всі
3.2;Тернопіль;"Фармфабрика ""Тернофарм""";всі;всі
3.2;Тернопіль;Вента;всі;всі
3.2;Тернопіль;Янтос;всі;всі
3.2;Тернопіль;Тернобуддеталь;всі;всі
3.2;Тернопіль;"ТОВ ""Влота""";всі;всі
4.1;Тернопіль;Тернопіль;Текстильна;20
4.1;Тернопіль;Тернопіль;Текстильна;21
4.1;Тернопіль;Тернопіль;Текстильна;22
4.1;Тернопіль;Тернопіль;Текстильна;23
4.1;Тернопіль;Тернопіль;Текстильна;24
4.1;Тернопіль;Тернопіль;Текстильна;25
4.1;Тернопіль;Тернопіль;Текстильна;26
4.1;Тернопіль;Тернопіль;Текстильна;27
4.1;Тернопіль;Тернопіль;Текстильна;28
4.1;Тернопіль;Тернопіль;Яреми;1
4.1;Тернопіль;Тернопіль;Яреми;2
4.1;Тернопіль;Тернопіль;Яреми;3
4.1;Тернопіль;Тернопіль;Яреми;4
4.1;Тернопіль;Тернопіль;Яреми;5
4.1;Тернопіль;Тернопіль;Яреми;6
4.1;Тернопіль;Тернопіль;Яреми;7
4.1;Тернопіль;Тернопіль;Яреми;16
4.1;Тернопіль;Тернопіль;Смакули;1
4.1;Тернопіль;Тернопіль;Смакули;2
4.1;Тернопіль;Тернопіль;Протасевича;4
4.1;Тернопіль;Тернопіль;Протасевича;5
4.1;Тернопіль;Тернопіль;Протасевича;6
4.1;Тернопіль;Тернопіль;Протасевича;7
4.1;Тернопіль;Тернопіль;Протасевича;8
4.1;Тернопіль;Тернопіль;Протасевича;9
4.1;Тернопіль;Тернопіль;Протасевича;10
4.1;Тернопіль;Тернопіль;Протасевича;11
4.1;Тернопіль;Тернопіль;Протасевича;12
4.1;Тернопіль;Тернопіль;Протасевича;13
4.1;Тернопіль;Тернопіль;Протасевича;14
4.1;Тернопіль;Тернопіль;Протасевича;15
4.1;Тернопіль;Тернопіль;Протасевича;16
4.1;Тернопіль;Тернопіль;Протасевича;17
4.1;Тернопіль;Тернопіль;Протасевича;18
4.1;Тернопіль;Тернопіль;Протасевича;19
4.1;Тернопіль;Тернопіль;Протасевича;20
4.1;Тернопіль;Тернопіль;Протасевича;21
4.1;Тернопіль;Тернопіль;Протасевича;22
4.1;Тернопіль;Тернопіль;Л. Українки;16
4.1;Тернопіль;Тернопіль;Л. Українки;17
4.1;Тернопіль;Тернопіль;Л. Українки;18
4.1;Тернопіль;Тернопіль;Л. Українки;19
4.1;Тернопіль;Тернопіль;Л. Українки;21
4.1;Тернопіль;Тернопіль;Л. Українки;23
4.1;Тернопіль;Тернопіль;Л. Українки;29
4.1;Тернопіль;Тернопіль;Л. Українки;33
4.1;Тернопіль;Тернопіль;Л. Українки;35
4.1;Тернопіль;Тернопіль;Л. Українки;39
4.1;Тернопіль;Тернопіль;Д. Галицького;1
4.1;Тернопіль;Тернопіль;Д. Галицького;3
4.1;Тернопіль;Тернопіль;Д. Галицького;5
4.1;Тернопіль;Тернопіль;Д. Галицького;2
4.1;Тернопіль;Тернопіль;Д. Галицького;4
4.1;Тернопіль;Тернопіль;Д. Галицького;6
4.1;Тернопіль;Тернопіль;Д. Галицького;8
4.1;Тернопіль;Тернопіль;Д. Галицького;10
4.1;Тернопіль;Тернопіль;Д. Галицького;12
4.1;Тернопіль;Тернопіль;Д. Галицького;14
4.1;Тернопіль;Тернопіль;Д. Галицького;16
4.1;Тернопіль;Тернопіль;Д. Галицького;18
4.1;Тернопіль;Тернопіль;Д. Галицького;20
4.1;Тернопіль;Тернопіль;Д. Галицького;22
4.1;Тернопіль;Тернопіль;Д. Галицького;24
4.1;Тернопіль;Тернопіль;Д. Галицького;26
4.1;Тернопіль;Тернопіль;Д. Галицького;28
4.1;Тернопіль;Тернопіль;Бандери;4
4.1;Тернопіль;Тернопіль;Бандери;5
4.1;Тернопіль;Тернопіль;Бандери;6
4.1;Тернопіль;Тернопіль;Бандери;7
4.1;Тернопіль;Тернопіль;Бандери;8
4.1;Тернопіль;Тернопіль;Бандери;9
4.1;Тернопіль;Тернопіль;Бандери;10
4.1;Тернопіль;Тернопіль;Бандери;11
4.1;Тернопіль;Тернопіль;Бандери;12
4.1;Тернопіль;Тернопіль;Бандери;13
4.1;Тернопіль;Тернопіль;Бандери;14
4.1;Тернопіль;Тернопіль;Бандери;15
4.1;Тернопіль;Тернопіль;Бандери;16
4.1;Тернопіль;Тернопіль;Бандери;17
4.1;Тернопіль;Тернопіль;Бандери;18
4.1;Тернопіль;Тернопіль;Бандери;19
4.1;Тернопіль;Тернопіль;Бандери;20
4.1;Тернопіль;Тернопіль;Бандери;21
4.1;Тернопіль;Тернопіль;Бандери;22
4.1;Тернопіль;Тернопіль;Бандери;23
4.1;Тернопіль;Тернопіль;Бандери;24
4.1;Тернопіль;Тернопіль;Бандери;26
4.1;Тернопіль;Тернопіль;Бандери;28
4.1;Тернопіль;Тернопіль;Бандери;30
4.1;Тернопіль;Тернопіль;Бандери;32
4.1;Тернопіль;Тернопіль;Бандери;34
4.1;Тернопіль;Тернопіль;Бандери;36
4.1;Тернопіль;Тернопіль;Бандери;62
4.1;Тернопіль;Тернопіль;Бандери;70
4.1;Тернопіль;Тернопіль;Бандери;72
4.1;Тернопіль;Тернопіль;Бандери;74
4.1;Тернопіль;Тернопіль;Бандери;76
4.1;Тернопіль;Тернопіль;Бандери;78
4.1;Тернопіль;Тернопіль;Бандери;80
4.1;Тернопіль;Тернопіль;Бандери;82
4.1;Тернопіль;Тернопіль;Бандери;83
4.1;Тернопіль;Тернопіль;Бандери;84
4.1;Тернопіль;Тернопіль;Бандери;86
4.1;Тернопіль;Тернопіль;Бандери;88
4.1;Тернопіль;Тернопіль;Бандери;90
4.1;Тернопіль;Тернопіль;Бандери;92
4.1;Тернопіль;Тернопіль;Бандери;94
4.1;Тернопіль;Тернопіль;Бандери;96
4.1;Тернопіль;Тернопіль;Бандери;98
4.1;Тернопіль;Тернопіль;Бандери;100
4.1;Тернопіль;Тернопіль;Бандери;102
4.1;Тернопіль;Тернопіль;Бандери;104
4.1;Тернопіль;Тернопіль;Бандери;106
4.1;Тернопіль;Тернопіль;Бандери;108
4.1;Тернопіль;Тернопіль;Рєпіна;14
4.1;Тернопіль;Тернопіль;Рєпіна;14А
4.1;Тернопіль;Тернопіль;Рєпіна;16
4.1;Тернопіль;Тернопіль;Рєпіна;18
4.1;Тернопіль;Тернопіль;Довженка;15
4.1;Тернопіль;Тернопіль;Довженка;17
4.1;Тернопіль;Тернопіль;Довженка;19
4.1;Тернопіль;Тернопіль;Монастирського;1
4.1;Тернопіль;Тернопіль;Монастирського;2
4.1;Тернопіль;Тернопіль;Монастирського;3
4.1;Тернопіль;Тернопіль;Монастирського;4
4.1;Тернопіль;Тернопіль;Монастирського;5
4.1;Тернопіль;Тернопіль;Монастирського;6
4.1;Тернопіль;Тернопіль;Монастирського;7
4.1;Тернопіль;Тернопіль;Монастирського;8
4.1;Тернопіль;Тернопіль;Монастирського;9
4.1;Тернопіль;Тернопіль;Монастирського;10
4.1;Тернопіль;Тернопіль;Монастирського;11
4.1;Тернопіль;Тернопіль;Монастирського;12
4.1;Тернопіль;Тернопіль;Монастирського;13
4.1;Тернопіль;Тернопіль;Монастирського;14
4.1;Тернопіль;Тернопіль;Монастирського;15
4.1;Тернопіль;Тернопіль;Монастирського;16
4.1;Тернопіль;Тернопіль;Монастирського;17
4.1;Тернопіль;Тернопіль;Монастирського;18
4.1;Тернопіль;Тернопіль;Монастирського;19
4.1;Тернопіль;Тернопіль;Монастирського;20
4.1;Тернопіль;Тернопіль;Монастирського;21
4.1;Тернопіль;Тернопіль;Монастирського;22
4.1;Тернопіль;Тернопіль;Монастирського;23
4.1;Тернопіль;Тернопіль;Монастирського;24
4.1;Тернопіль;Тернопіль;Монастирського;25
4.1;Тернопіль;Тернопіль;Монастирського;26
4.1;Тернопіль;Тернопіль;Монастирського;27
4.1;Тернопіль;Тернопіль;Монастирського;28
4.1;Тернопіль;Тернопіль;Монастирського;29
4.1;Тернопіль;Тернопіль;Монастирського;30
4.1;Тернопіль;Тернопіль;Монастирського;31
4.1;Тернопіль;Тернопіль;Монастирського;32
4.1;Тернопіль;Тернопіль;Монастирського;33
4.1;Тернопіль;Тернопіль;Монастирського;34
4.1;Тернопіль;Тернопіль;Монастирського;35
4.1;Тернопіль;Тернопіль;Монастирського;36
4.1;Тернопіль;Тернопіль;Монастирського;37
4.1;Тернопіль;Тернопіль;Монастирського;38
4.1;Тернопіль;Тернопіль;Монастирського;39
4.1;Тернопіль;Тернопіль;Монастирського;40
4.1;Тернопіль;Тернопіль;Монастирського;41
4.1;Тернопіль;Тернопіль;Монастирського;42
4.1;Тернопіль;Тернопіль;Монастирського;47
4.1;Тернопіль;Тернопіль;Монастирського;49
4.1;Тернопіль;Тернопіль;Монастирського;52
4.1;Тернопіль;Тернопіль;Монастирського;53
4.1;Тернопіль;Тернопіль;Монастирського;57
4.1;Тернопіль;Тернопіль;Галичина;1
4.1;Тернопіль;Тернопіль;Галичина;2
4.1;Тернопіль;Тернопіль;Галичина;3
4.1;Тернопіль;Тернопіль;Галичина;4
4.1;Тернопіль;Тернопіль;Галичина;5
4.1;Тернопіль;Тернопіль;Галичина;6
4.1;Тернопіль;Тернопіль;Галичина;7
4.1;Тернопіль;Тернопіль;Торговиця;1
4.1;Тернопіль;Тернопіль;Торговиця;3
4.1;Тернопіль;Тернопіль;Торговиця;5
4.1;Тернопіль;Тернопіль;Стадникової;16
4.1;Тернопіль;Тернопіль;Стадникової;22
4.1;Тернопіль;Тернопіль;Стадникової;23
4.1;Тернопіль;Тернопіль;Стадникової;24
4.1;Тернопіль;Тернопіль;Стадникової;25
4.1;Тернопіль;Тернопіль;Стадникової;26
4.1;Тернопіль;Тернопіль;Стадникової;27
4.1;Тернопіль;Тернопіль;Стадникової;28
4.1;Тернопіль;Тернопіль;Стадникової;29
4.1;Тернопіль;Тернопіль;Стадникової;30
4.1;Тернопіль;Тернопіль;Стадникової;31
4.1;Тернопіль;Тернопіль;Стадникової;32
4.1;Тернопіль;Тернопіль;Стадникової;33
4.1;Тернопіль;Тернопіль;Стадникової;34
4.1;Тернопіль;Тернопіль;Стадникової;35
4.1;Тернопіль;Тернопіль;Стадникової;36
4.1;Тернопіль;Тернопіль;Стадникової;37
4.1;Тернопіль;Тернопіль;Стадникової;38
4.1;Тернопіль;Тернопіль;Стадникової;39
4.1;Тернопіль;Тернопіль;Стадникової;40
4.1;Тернопіль;Тернопіль;Стадникової;41
4.1;Тернопіль;Тернопіль;Стадникової;42
4.1;Тернопіль;Тернопіль;Стадникової;43
4.1;Тернопіль;Тернопіль;Стадникової;44
4.1;Тернопіль;Тернопіль;Стадникової;45
4.1;Тернопіль;Тернопіль;Стадникової;46
4.1;Тернопіль;Тернопіль;Стадникової;47
4.1;Тернопіль;Тернопіль;Стадникової;48
4.1;Тернопіль;Тернопіль;Стадникової;49
4.1;Тернопіль;Тернопіль;Стадникової;50
4.1;Тернопіль;Тернопіль;Стадникової;51
4.1;Тернопіль;Тернопіль;Стадникової;52
4.1;Тернопіль;Тернопіль;Стадникової;53
4.1;Тернопіль;Тернопіль;Стадникової;54
4.1;Тернопіль;Тернопіль;Стадникової;55
4.1;Тернопіль;Тернопіль;Стадникової;56
4.1;Тернопіль;Тернопіль;Стадникової;57
4.1;Тернопіль;Тернопіль;Стадникової;58
4.1;Тернопіль;Тернопіль;Стадникової;59
4.1;Тернопіль;Тернопіль;Стадникової;60
4.1;Тернопіль;Тернопіль;Стадникової;61
4.1;Тернопіль;Тернопіль;Стадникової;62
4.1;Тернопіль;Тернопіль;Стадникової;63
4.1;Тернопіль;Тернопіль;Стадникової;64
4.1;Тернопіль;Тернопіль;Стадникової;65
4.1;Тернопіль;Тернопіль;Стадникової;66
4.1;Тернопіль;Тернопіль;Стадникової;67
4.1;Тернопіль;Тернопіль;Чернівецька;1
4.1;Тернопіль;Тернопіль;Чернівецька;2
4.1;Тернопіль;Тернопіль;Чернівецька;3
4.1;Тернопіль;Тернопіль;Чернівецька;4
4.1;Тернопіль;Тернопіль;Чернівецька;5
4.1;Тернопіль;Тернопіль;Чернівецька;6
4.1;Тернопіль;Тернопіль;Чернівецька;7
4.1;Тернопіль;Тернопіль;Чернівецька;8
4.1;Тернопіль;Тернопіль;Чернівецька;9
4.1;Тернопіль;Тернопіль;Чернівецька;10
4.1;Тернопіль;Тернопіль;Чернівецька;11
4.1;Тернопіль;Тернопіль;Чернівецька;12
4.1;Тернопіль;Тернопіль;Чернівецька;13
4.1;Тернопіль;Тернопіль;Чернівецька;14
4.1;Тернопіль;Тернопіль;Чернівецька;15
4.1;Тернопіль;Тернопіль;Чернівецька;16
4.1;Тернопіль;Тернопіль;Чернівецька;17
4.1;Тернопіль;Тернопіль;Чернівецька;18
4.1;Тернопіль;Тернопіль;Чернівецька;19
4.1;Тернопіль;Тернопіль;Чернівецька;20
4.1;Тернопіль;Тернопіль;Чернівецька;21
4.1;Тернопіль;Тернопіль;Чернівецька;22
4.1;Тернопіль;Тернопіль;Чернівецька;23
4.1;Тернопіль;Тернопіль;Чернівецька;24
4.1;Тернопіль;Тернопіль;Чернівецька;25
4.1;Тернопіль;Тернопіль;Чернівецька;26
4.1;Тернопіль;Тернопіль;Чернівецька;27
4.1;Тернопіль;Тернопіль;Чернівецька;28
4.1;Тернопіль;Тернопіль;Чернівецька;29
4.1;Тернопіль;Тернопіль;Чернівецька;30
4.1;Тернопіль;Тернопіль;Чернівецька;31
4.1;Тернопіль;Тернопіль;Чернівецька;32
4.1;Тернопіль;Тернопіль;Чернівецька;33
4.1;Тернопіль;Тернопіль;Чернівецька;34
4.1;Тернопіль;Тернопіль;Чернівецька;35
4.1;Тернопіль;Тернопіль;Чернівецька;36
4.1;Тернопіль;Тернопіль;Чернівецька;37
4.1;Тернопіль;Тернопіль;Чернівецька;38
4.1;Тернопіль;Тернопіль;Чернівецька;39
4.1;Тернопіль;Тернопіль;Чернівецька;40
4.1;Тернопіль;Тернопіль;Чернівецька;41
4.1;Тернопіль;Тернопіль;Чернівецька;42
4.1;Тернопіль;Тернопіль;Чернівецька;43
4.1;Тернопіль;Тернопіль;Чернівецька;44
4.1;Тернопіль;Тернопіль;Чернівецька;45
4.1;Тернопіль;Тернопіль;Чернівецька;46
4.1;Тернопіль;Тернопіль;Чернівецька;63
4.1;Тернопіль;Тернопіль;Чернівецька;64
4.1;Тернопіль;Тернопіль;Микулинецька;4
4.1;Тернопіль;Тернопіль;Микулинецька;5
4.1;Тернопіль;Тернопіль;Микулинецька;6
4.1;Тернопіль;Тернопіль;Микулинецька;7
4.1;Тернопіль;Тернопіль;Микулинецька;8
4.1;Тернопіль;Тернопіль;Микулинецька;9
4.1;Тернопіль;Тернопіль;Микулинецька;10
4.1;Тернопіль;Тернопіль;Микулинецька;11
4.1;Тернопіль;Тернопіль;Микулинецька;12
4.1;Тернопіль;Тернопіль;Микулинецька;13
