групи споживачів;Адміністративний район;місто / селище / підприємство;вулиця;номер буд
1.1;Чортківський район;"ВАТ ""Чортківський завод ""Агромаш""";всі;всі
1.1;Чортківський район;"ТОВ""Біллербек Україна перо-пухова фабрика""";всі;всі
1.1;Чортківський район;"ПП ""Чортківсир""";всі;всі
1.1;Чортківський район;"ТзОВ ""Радехівський цукор""";всі;всі
1.1;Чортківський район;"ПП ""Інвар ХХІ""";всі;всі
1.1;Чортківський район;ФОП Мостівський;всі;всі
1.1;Чортківський район;Чортків МРЕО;всі;всі
1.1;Чортківський район;"АЗС ""Укрнафта""";всі;всі
1.1;Чортківський район;"ТзОВ ""Віза Трейд""";всі;всі
1.1;Чортківський район;"ТзОВ ""Органіка""";всі;всі
1.2;Чортківський район;Заліщики;Сагайдачного;всі
1.2;Чортківський район;Заліщики;Ущилівська;всі
1.2;Чортківський район;Заліщики;Шкільна;всі
1.2;Чортківський район;Заліщики;Ф. Котузяка (40 років Перемоги);всі
1.2;Чортківський район;Заліщики;Грушевського;всі
1.2;Чортківський район;Заліщики;Залізнична;всі
1.2;Чортківський район;Заліщики;Маковея;всі
1.2;Чортківський район;Заліщики;Ольжича;всі
1.2;Чортківський район;Заліщики;Поповича;всі
1.2;Чортківський район;Заліщики; Бандери;всі
1.2;Чортківський район;Заліщики;Стефаника;всі
1.2;Чортківський район;Заліщики;Стуса;всі
1.2;Чортківський район;Заліщики;Шашкевича;всі
1.2;Чортківський район;Заліщики;Шухевича (Тимошенка);всі
1.2;Чортківський район;Заліщики;Гайворонського;всі
1.2;Чортківський район;Заліщики;Богуна;всі
1.2;Чортківський район;Заліщики;Д. Галицького;всі
1.2;Чортківський район;Заліщики;Заньковецької;всі
1.2;Чортківський район;Заліщики;Зелена;всі
1.2;Чортківський район;Заліщики;Коновальця;всі
1.2;Чортківський район;Заліщики;Крушельницької;всі
1.2;Чортківський район;Заліщики;Л. Українки;всі
1.2;Чортківський район;Заліщики;Наддністрянська;всі
1.2;Чортківський район;Заліщики;Наливайка;всі
1.2;Чортківський район;Заліщики;Полуботка;всі
1.2;Чортківський район;Заліщики;Промислова;всі
1.2;Чортківський район;Заліщики;Рибацька;всі
1.2;Чортківський район;Заліщики;Садова;всі
1.2;Чортківський район;Заліщики;В. Великого;всі
1.2;Чортківський район;Заліщики;Гонти;всі
1.2;Чортківський район;Заліщики;Й. Сліпого;всі
1.2;Чортківський район;Заліщики;Котляревського;всі
1.2;Чортківський район;Заліщики;Лепкого;всі
1.2;Чортківський район;Заліщики;Лисенка;всі
1.2;Чортківський район;Заліщики;Франка;всі
1.2;Чортківський район;Заліщики;Шевченка;всі
1.2;Чортківський район;Заліщики;Вовчка;всі
1.2;Чортківський район;Заліщики;Драгоманова;всі
1.2;Чортківський район;Заліщики;Кобилянської;всі
1.2;Чортківський район;Заліщики;Кропивницького;всі
1.2;Чортківський район;Заліщики;Мазепи;всі
1.2;Чортківський район;Заліщики;Нова;всі
1.2;Чортківський район;Заліщики;Симоненка;всі
1.2;Чортківський район;Заліщики;Січ. Стрільців;всі
1.2;Чортківський район;Заліщики;Філатова;всі
1.2;Чортківський район;Заліщики;Хмельницького;всі
1.2;Чортківський район;Заліщики;Храпливих;всі
1.2;Чортківський район;Заліщики;Чайковського;всі
1.2;Чортківський район;Заліщики;Чубинського;всі
1.2;Чортківський район;Заліщики;Шептицького;всі
1.2;Чортківський район;Заліщики;Весняна;всі
1.2;Чортківський район;Заліщики;О. Ланга;всі
1.2;Чортківський район;Заліщики;Гранична;всі
1.2;Чортківський район;Заліщики;Устименка;всі
1.2;Чортківський район;Заліщики;Зеленогайська;всі
1.2;Чортківський район;Заліщики;Луб'янського;всі
1.2;Чортківський район;Заліщики;Чорновола;всі
1.2;Чортківський район;Заліщики;Джерельна;всі
1.2;Чортківський район;Заліщики;Козацька;всі
1.2;Чортківський район;Заліщики;Кооперативна;всі
1.2;Чортківський район;Заліщики;Польова;всі
1.2;Чортківський район;Заліщики;Незалежності;всі
1.2;Чортківський район;Заліщики;Подільська;всі
1.2;Чортківський район;Заліщики;Пулюя;всі
1.2;Чортківський район;Заліщики;Злагоди;всі
1.2;Чортківський район;Добровляни;всі;всі
1.2;Чортківський район;Бедриківці;всі;всі
1.2;Чортківський район;Дзвиняч;всі;всі
1.2;Чортківський район;Касперівці;всі;всі
1.2;Чортківський район;Щитівці;всі;всі
1.2;Чортківський район;Дуплиська;всі;всі
1.2;Чортківський район;Блищанка;всі;всі
1.2;Чортківський район;Мишків;всі;всі
1.2;Чортківський район;Лисичники;всі;всі
1.2;Чортківський район;Ставки;всі;всі
1.2;Чортківський район;Городок;всі;всі
1.2;Чортківський район;Дунів;всі;всі
1.2;Чортківський район;Кулаківці;всі;всі
1.2;Чортківський район;Зозулинці;всі;всі
1.2;Чортківський район;Виноградне;всі;всі
1.2;Чортківський район;Голігради;всі;всі
1.2;Чортківський район;Новосілка;всі;всі
1.2;Чортківський район;Винятинці;всі;всі
1.2;Чортківський район;Товсте;Українська;всі
1.2;Чортківський район;Товсте;Антонівська;всі
1.2;Чортківський район;Товсте;Грушевського;всі
1.2;Чортківський район;Товсте;Наливайка;всі
1.2;Чортківський район;Товсте;Вишнева;всі
1.2;Чортківський район;Товсте;Галицька;всі
1.2;Чортківський район;Товсте;Південна;всі
1.2;Чортківський район;Товсте;Польова;всі
1.2;Чортківський район;Товсте;Сонячна;всі
1.2;Чортківський район;Товсте;Дружби;всі
1.2;Чортківський район;Товсте;Козацька;всі
1.2;Чортківський район;Товсте;Л. Українки;всі
1.2;Чортківський район;Товсте;Нагорянка;всі
1.2;Чортківський район;Товсте;Нова;всі
1.2;Чортківський район;Товсте;Хмельницького;всі
1.2;Чортківський район;Товсте;Чумацька;всі
1.2;Чортківський район;Товсте;Боднарівка;всі
1.2;Чортківський район;Товсте;Миру;всі
1.2;Чортківський район;Товсте;Садова;всі
1.2;Чортківський район;Товсте;Франка;всі
1.2;Чортківський район;Товсте;Яблунева;всі
1.2;Чортківський район;Товсте;Робітнича;всі
1.2;Чортківський район;Товсте;Незалежності;всі
1.2;Чортківський район;Товсте;Коновальця;всі
1.2;Чортківський район;Товсте;Зелена;всі
1.2;Чортківський район;Товсте;Гайдамацька;всі
1.2;Чортківський район;Товсте;Шевченка;всі
1.2;Чортківський район;Лисівці;всі;всі
